specimen,Interval,treatment,NaCa_mean,NaCa_sd,MgCa_mean,MgCa_sd,MnCa_mean,MnCa_sd,SrCa_mean,SrCa_sd,BaCa_mean,BaCa_sd,growth_mean,growth_sd,T_mean,T_sd,S_mean,S_sd,Chl_mean,Chl_sd,N,peakID
B255,interval 0,intertidal,22.41851453650469,12.146256808213321,2.1746238387512955,12.851412298520986,0.016784220170984458,0.08708016804489369,1.9820952763760178,0.5957929945755339,0.009385615056994819,0.061706603509542594,21.22341095125153,0.0,18.275547248951394,3.298498363520388,32.15817123118678,1.122758950619315,4.006749321490254,1.2848038564249273,4052,1
B255,interval 1,intertidal,20.97242778554343,5.119225542203427,0.6990021554606268,0.18418010444632857,0.0064987665668174025,0.0013935143896134864,2.011311541677842,0.5587073460125795,0.0036647421027600183,0.001057211239857151,165.90702353589745,0.0,19.687835343882185,0.623480958893307,30.042495691681026,0.7684385405505894,5.537159519725557,2.496670163904663,6413,1
B255,interval 2,intertidal,22.423598405821696,5.459525935418299,1.1595636095713497,0.29397484716470673,0.008480825059895114,0.001726689944977918,2.172778647729782,0.5987574015950572,0.0051162052373723435,0.0012675757472635273,77.43518371202882,0.0,17.173557272978197,1.0735074924010695,29.632051338669612,0.7768923037965136,3.292952525531328,2.507226844429857,3623,1
B255,interval 3,intertidal,23.462455397042305,4.5281632318240845,0.967798404097726,0.20917103480779964,0.01031690567805394,0.0018707684097264918,2.038598211165838,0.4816824916152012,0.0035121860520359598,0.0009608276380226176,153.54196739325997,0.0,14.491393548387096,1.163499747134937,30.006246218931786,0.8446066120071349,5.6631598096245375,3.133893943508094,9455,1
B255,interval 4,intertidal,25.37697199314399,4.137847463720299,0.9643587655672828,0.1686949669897967,0.010173270803015564,0.001691717598956669,1.8733368514991893,0.3571588933080089,0.0023428578284695203,0.0005572827376715915,101.48770917304476,0.0,12.040292963683529,0.7577869094274917,28.400430916775033,1.2788790025933852,9.382970492866407,2.5835543826981904,6167,1
B255,interval 6,intertidal,26.314401527054642,3.1266251693552847,0.7653532803263766,0.196548855435541,0.006583005584813499,0.0012578752157560748,1.2958441640457372,0.18903168024659248,0.0011857451607460035,0.0002703978151422874,34.61093430263573,0.0,9.847463523131673,1.9193572595334103,27.650302046263345,1.6233054746278184,16.25510213143872,9.875698113816211,2251,1
B255,interval 7,intertidal,44.567745506321046,56.50845192025564,1.1609764158408773,0.5946054253974139,0.03491577037517499,0.09159356930952564,1.1617991217691948,0.37851010095770504,0.001545094347715736,0.0021210000196084356,20.329382264113043,0.0,6.4997076631977295,0.42393205112780774,26.433416272469252,2.6020549662093493,5.140700419972002,5.536444388308418,2143,1
B255,peak 1,intertidal,20.23737640119487,4.669919956950692,0.7256601825502392,0.17042429924745553,0.006973919271422358,0.0013688252203324278,2.276612037260113,0.596234344678905,0.005054822911265768,0.0012450876157939481,,,21.587301000434973,0.8077296793233082,31.737025228360157,0.4866197203071359,3.685142670726403,0.6502622250749611,2299,1
B255,peak 2,intertidal,20.996438083132382,5.018622210159828,0.9518577926131954,0.4046396155655328,0.006724583479948253,0.0014777283928741666,2.544623383548512,1.9157918158860192,0.004596788155670548,0.0015484203516751048,,,18.974620094868477,0.6270899312214596,29.280058214747736,0.8578041807846386,5.351913324708926,1.725476796915763,2319,1
B255,peak 3,intertidal,23.389962788720517,6.567363946968702,1.106476368263067,0.3121958043623532,0.010914410143412528,0.002515367525910374,2.320108193561555,0.7338038434174716,0.0052952122617710585,0.001520132507914176,,,15.649605615550756,0.4935838043114449,29.406677321814254,0.9998236261832555,7.468876889848812,2.4989460129055248,2315,1
B255,peak 4,intertidal,24.27753805199301,2.8439001650521814,0.9891129365524476,0.1328155414368725,0.009514295905594406,0.0012971769891129414,2.2572903052307693,0.3000619233455757,0.002496159118881119,0.0004658823167224838,,,13.905195804195804,0.4932288854639586,29.425870629370632,0.381182786255945,7.552,0.0,286,1
B255,peak 5,intertidal,26.133825542288136,2.4158906951799843,1.016915332957627,0.11395367682594532,0.009081557466101694,0.0009225665636443949,1.7879963785254236,0.18573775366515333,0.002024130161016949,0.00030388277818337104,,,12.189,0.0,26.572,0.0,12.664,0.0,118,1
B255,peak 6,intertidal,26.5505096573772,2.5528908142797393,1.0388078851056994,0.2155777041680838,0.009856897177202074,0.0012978877221079593,1.909962356149223,0.23845538730012242,0.002038362816580311,0.0003389713710906625,,,12.189,0.0,26.572,0.0,12.664,0.0,965,1
B255,peak 7,intertidal,22.945456705708153,3.8444264783574877,0.9131416872274678,0.1917739430605469,0.00470485481974249,0.000694997324033674,1.5657659316781116,0.3794140660189592,0.0017747560729613734,0.0006025491762642117,,,7.850682403433477,0.2623518506228474,26.80751931330472,1.4600468051116626,31.646,0.0,233,1
B323,interval 0,intertidal,31.60663420926261,44.112701178495854,2.1168761000841787,1.3869401160715797,0.051497294913103064,0.10917663851637223,2.3435315236493968,0.8931812812340574,0.007653670038939052,0.0035368748459607417,19.021084366586443,0.0,18.294431743421054,3.2308115769643733,32.171729166666665,1.1122874279146242,4.2210709978070176,1.1275854068020772,3648,1
